Analyzing A
A Combo Size 2
20140504-15-35-59	At\0.884413812908	[day","state","car_age","age_oldest","C_previous","previous]
20140504-15-36-25	At\0.884413812908	[day","state","car_age","age_youngest","married_couple","previous]
20140504-15-36-38	At\0.884413812908	[day","state","car_age","age_youngest","C_previous","previous]
20140504-15-36-51	At\0.884413812908	[day","state","car_age","married_couple","C_previous","previous]
20140504-15-37-18	At\0.884413812908	[day","state","age_oldest","age_youngest","married_couple","previous]
20140504-15-37-31	At\0.884413812908	[day","state","age_oldest","age_youngest","C_previous","previous]
20140504-15-37-44	At\0.884413812908	[day","state","age_oldest","married_couple","C_previous","previous]
20140504-15-37-56	At\0.884413812908	[day","state","age_youngest","married_couple","C_previous","previous]
20140504-15-38-47	At\0.884413812908	[day","group_size","homeowner","car_age","age_oldest","previous]
20140504-15-39-25	At\0.884413812908	[day","group_size","homeowner","car_age","age_youngest","previous]
20140504-15-39-50	At\0.884413812908	[day","group_size","homeowner","car_age","married_couple","previous]
20140504-15-40-03	At\0.884413812908	[day","group_size","homeowner","car_age","C_previous","previous]
20140504-15-40-40	At\0.884413812908	[day","group_size","homeowner","age_oldest","age_youngest","previous]
20140504-15-41-05	At\0.884413812908	[day","group_size","homeowner","age_oldest","married_couple","previous]
20140504-15-41-17	At\0.884413812908	[day","group_size","homeowner","age_oldest","C_previous","previous]
20140504-15-41-42	At\0.884413812908	[day","group_size","homeowner","age_youngest","married_couple","previous]
20140504-15-41-54	At\0.884413812908	[day","group_size","homeowner","age_youngest","C_previous","previous]
20140504-15-42-07	At\0.884413812908	[day","group_size","homeowner","married_couple","C_previous","previous]
20140504-15-42-46	At\0.884413812908	[day","group_size","car_age","age_oldest","age_youngest","previous]
20140504-15-43-12	At\0.884413812908	[day","group_size","car_age","age_oldest","married_couple","previous]
20140504-15-43-25	At\0.884413812908	[day","group_size","car_age","age_oldest","C_previous","previous]
20140504-15-43-50	At\0.884413812908	[day","group_size","car_age","age_youngest","married_couple","previous]
20140504-15-44-03	At\0.884413812908	[day","group_size","car_age","age_youngest","C_previous","previous]
20140504-15-44-16	At\0.884413812908	[day","group_size","car_age","married_couple","C_previous","previous]
20140504-15-44-41	At\0.884413812908	[day","group_size","age_oldest","age_youngest","married_couple","previous]
20140504-15-44-55	At\0.884413812908	[day","group_size","age_oldest","age_youngest","C_previous","previous]
20140504-15-45-08	At\0.884413812908	[day","group_size","age_oldest","married_couple","C_previous","previous]
20140504-15-45-20	At\0.884413812908	[day","group_size","age_youngest","married_couple","C_previous","previous]
20140504-15-45-59	At\0.884413812908	[day","homeowner","car_age","age_oldest","age_youngest","previous]
20140504-15-46-24	At\0.884413812908	[day","homeowner","car_age","age_oldest","married_couple","previous]
20140504-15-46-37	At\0.884413812908	[day","homeowner","car_age","age_oldest","C_previous","previous]
20140504-15-47-03	At\0.884413812908	[day","homeowner","car_age","age_youngest","married_couple","previous]
20140504-15-47-16	At\0.884413812908	[day","homeowner","car_age","age_youngest","C_previous","previous]
20140504-15-47-29	At\0.884413812908	[day","homeowner","car_age","married_couple","C_previous","previous]
20140504-15-47-54	At\0.884413812908	[day","homeowner","age_oldest","age_youngest","married_couple","previous]
20140504-15-48-06	At\0.884413812908	[day","homeowner","age_oldest","age_youngest","C_previous","previous]
20140504-15-48-19	At\0.884413812908	[day","homeowner","age_oldest","married_couple","C_previous","previous]
20140504-15-48-31	At\0.884413812908	[day","homeowner","age_youngest","married_couple","C_previous","previous]
20140504-15-48-57	At\0.884413812908	[day","car_age","age_oldest","age_youngest","married_couple","previous]
20140504-15-49-10	At\0.884413812908	[day","car_age","age_oldest","age_youngest","C_previous","previous]
20140504-15-49-23	At\0.884413812908	[day","car_age","age_oldest","married_couple","C_previous","previous]
20140504-15-49-36	At\0.884413812908	[day","car_age","age_youngest","married_couple","C_previous","previous]
20140504-15-49-49	At\0.884413812908	[day","age_oldest","age_youngest","married_couple","C_previous","previous]
20140504-15-50-40	At\0.884413812908	[state","group_size","homeowner","car_age","age_oldest","previous]
20140504-15-51-18	At\0.884413812908	[state","group_size","homeowner","car_age","age_youngest","previous]
20140504-15-51-43	At\0.884413812908	[state","group_size","homeowner","car_age","married_couple","previous]
20140504-15-51-56	At\0.884413812908	[state","group_size","homeowner","car_age","C_previous","previous]
20140504-15-52-34	At\0.884413812908	[state","group_size","homeowner","age_oldest","age_youngest","previous]
20140504-15-52-59	At\0.884413812908	[state","group_size","homeowner","age_oldest","married_couple","previous]
20140504-15-53-11	At\0.884413812908	[state","group_size","homeowner","age_oldest","C_previous","previous]
20140504-15-53-36	At\0.884413812908	[state","group_size","homeowner","age_youngest","married_couple","previous]
20140504-15-53-50	At\0.884413812908	[state","group_size","homeowner","age_youngest","C_previous","previous]
20140504-15-54-03	At\0.884413812908	[state","group_size","homeowner","married_couple","C_previous","previous]
20140504-15-54-42	At\0.884413812908	[state","group_size","car_age","age_oldest","age_youngest","previous]
20140504-15-55-09	At\0.884413812908	[state","group_size","car_age","age_oldest","married_couple","previous]
20140504-15-55-22	At\0.884413812908	[state","group_size","car_age","age_oldest","C_previous","previous]
20140504-15-55-48	At\0.884413812908	[state","group_size","car_age","age_youngest","married_couple","previous]
20140504-15-56-01	At\0.884413812908	[state","group_size","car_age","age_youngest","C_previous","previous]
20140504-15-56-14	At\0.884413812908	[state","group_size","car_age","married_couple","C_previous","previous]
20140504-15-56-39	At\0.884413812908	[state","group_size","age_oldest","age_youngest","married_couple","previous]
20140504-15-56-52	At\0.884413812908	[state","group_size","age_oldest","age_youngest","C_previous","previous]
20140504-15-57-04	At\0.884413812908	[state","group_size","age_oldest","married_couple","C_previous","previous]
20140504-15-57-17	At\0.884413812908	[state","group_size","age_youngest","married_couple","C_previous","previous]
